,Itr0_time,Itr0_acc,Itr0_conf,Itr0_aclabel
116,0.0035919547080993652,0.25,[0.3734366  0.43007538 0.5800177  0.18932885],[6 9 1 9]
117,0.003582596778869629,0.5,[0.3018967  0.83255595 0.4020586  0.54620403],[9 8 9 9]
118,0.003596961498260498,0.25,[0.91111434 0.49080917 0.9650204  0.2664024 ],[8 5 9 4]
119,0.0035808682441711426,0.5,[0.5341397  0.9999336  0.81217223 0.40544462],[7 0 8 9]
120,0.003574371337890625,0.5,[0.3940912  0.78636694 0.6722976  0.56462735],[8 5 6 4]
121,0.0035786032676696777,0.25,[0.21730287 0.33752558 0.61844635 0.37444   ],[0 6 4 2]
122,0.0035999417304992676,0.75,[0.5777598  0.44304004 0.39353928 0.7939877 ],[1 2 4 2]
123,0.0035813450813293457,0.25,[0.8010931 0.4550582 0.9412932 0.4770899],[9 4 5 4]
124,0.0037822723388671875,0.25,[0.3712253  0.65769005 0.4633124  0.3028761 ],[3 4 1 8]
125,0.003577291965484619,0.5,[0.74505246 0.83590615 0.37076375 0.9310335 ],[4 7 5 7]
126,0.0035881996154785156,0.75,[0.9362852  0.42201325 0.6559626  0.3666083 ],[0 9 6 4]
127,0.00356292724609375,0.75,[0.4664549  0.46652716 0.77016586 0.98732764],[8 7 7 9]
128,0.003616511821746826,0.0,[0.415581   0.45453775 0.18199965 0.42512387],[2 8 3 9]
129,0.00363004207611084,0.0,[0.53820765 0.54202795 0.5420566  0.97408944],[1 7 0 0]
130,0.0035910606384277344,0.75,[0.6673133  0.23366787 0.8010443  0.5437814 ],[3 2 9 0]
131,0.0035783052444458008,0.5,[0.38089386 0.5575366  0.54989576 0.9107128 ],[4 4 8 8]
132,0.0035762786865234375,0.25,[0.46148908 0.29198512 0.29043078 0.36537704],[8 3 8 9]
133,0.00357973575592041,0.25,[0.477216   0.41824546 0.2744659  0.7286447 ],[9 6 1 0]
134,0.0035770535469055176,0.25,[0.8690323  0.8001463  0.52044064 0.741829  ],[8 1 7 3]
135,0.003580927848815918,0.5,[0.31712714 0.97359586 0.3312906  0.35213098],[1 0 7 6]
136,0.0035958290100097656,0.75,[0.8597293  0.25866932 0.8842176  0.90499836],[2 4 1 8]
137,0.0035710930824279785,0.5,[0.30928606 0.2479425  0.35870183 0.47849715],[5 2 8 7]
138,0.003583550453186035,1.0,[0.97127616 0.65826607 0.46278778 0.52014714],[7 6 4 2]
139,0.003588080406188965,0.25,[0.3923299  0.2927178  0.28610104 0.29655734],[7 6 3 8]
140,0.003625035285949707,0.0,[0.43765938 0.518553   0.73176587 0.53194   ],[9 2 3 9]
141,0.0036316514015197754,0.5,[0.9331932 0.2868485 0.3415403 0.3673825],[0 3 1 6]
